year,unemployment_insurance_fund_id,unemployment_insurance_fund ,gender,age_range_year,days,amount_sek
1999,19,Transportarbetarnas,women,45-49,24514.5,12999233.0
1999,19,Transportarbetarnas,men,50-54,131814.5,73001313.5
1999,19,Transportarbetarnas,women,50-54,23615.5,12483716.5
1999,19,Transportarbetarnas,men,55-59,109407.0,60430421.0
1999,19,Transportarbetarnas,women,55-59,21827.5,11188722.0
1999,19,Transportarbetarnas,men,60+,99967.5,55165985.0
1999,19,Transportarbetarnas,women,60+,17055.0,8041971.5
1999,22,Hotell- och Restauranganställdas,men,-24,95423.0,40736052.0
1999,22,Hotell- och Restauranganställdas,women,-24,217940.5,87130370.0
1999,22,Hotell- och Restauranganställdas,men,25-29,205169.5,98856301.0
1999,22,Hotell- och Restauranganställdas,women,25-29,433092.0,205052083.0
1999,22,Hotell- och Restauranganställdas,men,30-34,197038.5,96112525.5
1999,22,Hotell- och Restauranganställdas,women,30-34,324560.5,159509391.5
1999,22,Hotell- och Restauranganställdas,men,35-39,150280.0,73534931.0
1999,22,Hotell- och Restauranganställdas,women,35-39,209037.0,101591389.0
1999,22,Hotell- och Restauranganställdas,men,40-44,102990.0,50863654.5
1999,22,Hotell- och Restauranganställdas,women,40-44,137602.5,66124277.0
1999,22,Hotell- och Restauranganställdas,men,45-49,66725.5,33206533.5
1999,22,Hotell- och Restauranganställdas,women,45-49,101171.5,48221868.0
1999,22,Hotell- och Restauranganställdas,men,50-54,48504.5,24472169.5
1999,22,Hotell- och Restauranganställdas,women,50-54,87131.5,41410781.5
1999,22,Hotell- och Restauranganställdas,men,55-59,29122.5,14538967.5
1999,22,Hotell- och Restauranganställdas,women,55-59,90494.0,43027330.0
1999,22,Hotell- och Restauranganställdas,men,60+,14888.0,7504287.0
1999,22,Hotell- och Restauranganställdas,women,60+,67645.5,30473315.0
1999,23,Säljarnas,men,-24,1621.5,737200.0
1999,23,Säljarnas,women,-24,985.5,438595.0
1999,23,Säljarnas,men,25-29,5647.0,2891462.5
1999,23,Säljarnas,women,25-29,3041.0,1401738.0
1999,23,Säljarnas,men,30-34,10169.5,5607428.0
1999,23,Säljarnas,women,30-34,4647.0,2350489.0
1999,23,Säljarnas,men,35-39,12631.5,6925550.0
1999,23,Säljarnas,women,35-39,4260.5,2264397.5
1999,23,Säljarnas,men,40-44,13677.0,7292291.5
1999,23,Säljarnas,women,40-44,4673.0,2424279.5
1999,23,Säljarnas,men,45-49,15048.5,7852469.0
1999,23,Säljarnas,women,45-49,3278.0,1773174.5
1999,23,Säljarnas,men,50-54,19950.0,10395357.0
1999,23,Säljarnas,women,50-54,4549.5,2305991.0
1999,23,Säljarnas,men,55-59,25894.0,13957307.0
1999,23,Säljarnas,women,55-59,4713.0,2505976.5
1999,23,Säljarnas,men,60+,22501.0,12128570.5
1999,23,Säljarnas,women,60+,3604.0,1934366.5
1999,26,Elektrikernas,men,-24,13361.0,5660869.5
1999,26,Elektrikernas,women,-24,276.0,114645.5
1999,26,Elektrikernas,men,25-29,27892.0,15041122.5
1999,26,Elektrikernas,women,25-29,583.0,253586.0
1999,26,Elektrikernas,men,30-34,30769.0,17237691.0
1999,26,Elektrikernas,women,30-34,770.5,400245.5
1999,26,Elektrikernas,men,35-39,22508.0,12650938.5
1999,26,Elektrikernas,women,35-39,642.0,322429.5
1999,26,Elektrikernas,men,40-44,16517.5,9276199.0
1999,26,Elektrikernas,women,40-44,320.0,182672.0
1999,26,Elektrikernas,men,45-49,20406.5,11504177.5
1999,26,Elektrikernas,women,45-49,855.0,436384.0
1999,26,Elektrikernas,men,50-54,19239.0,10544681.0
1999,26,Elektrikernas,women,50-54,268.5,123054.5
1999,26,Elektrikernas,men,55-59,17945.0,9866606.5
1999,26,Elektrikernas,women,55-59,474.0,188673.0
1999,26,Elektrikernas,men,60+,20689.0,11205687.5
1999,26,Elektrikernas,women,60+,0.0,0.0
1999,27,Ledarnas,men,-24,1628.0,661581.5
1999,27,Ledarnas,women,-24,497.0,199036.0
1999,27,Ledarnas,men,25-29,8519.0,4585725.5
1999,27,Ledarnas,women,25-29,3068.0,1660814.5
1999,27,Ledarnas,men,30-34,20194.0,11445661.5
1999,27,Ledarnas,women,30-34,8724.5,4910167.5
1999,27,Ledarnas,men,35-39,26822.5,15220208.5
1999,27,Ledarnas,women,35-39,13076.0,7305795.0
1999,27,Ledarnas,men,40-44,37205.5,21342555.5
1999,27,Ledarnas,women,40-44,10053.5,5620643.0
1999,27,Ledarnas,men,45-49,61438.5,35112224.0
1999,27,Ledarnas,women,45-49,8687.5,4891103.0
1999,27,Ledarnas,men,50-54,116155.0,66595482.0
1999,27,Ledarnas,women,50-54,10928.0,6008543.5
1999,27,Ledarnas,men,55-59,161292.0,91981970.5
1999,27,Ledarnas,women,55-59,13781.0,7733358.5
1999,27,Ledarnas,men,60+,253271.0,143335117.0
1999,27,Ledarnas,women,60+,16405.5,8783468.0
1999,36,Byggnadsarbetarnas,men,-24,285212.5,136671829.0
1999,36,Byggnadsarbetarnas,women,-24,4951.5,2287620.0
1999,36,Byggnadsarbetarnas,men,25-29,599515.0,333807961.0
1999,36,Byggnadsarbetarnas,women,25-29,14458.0,7605660.5
1999,36,Byggnadsarbetarnas,men,30-34,569208.0,324556490.5
1999,36,Byggnadsarbetarnas,women,30-34,12526.0,6606378.0
1999,36,Byggnadsarbetarnas,men,35-39,520960.5,298226882.0
1999,36,Byggnadsarbetarnas,women,35-39,9394.5,5023018.5
1999,36,Byggnadsarbetarnas,men,40-44,406913.5,232138927.5
1999,36,Byggnadsarbetarnas,women,40-44,6054.0,3187199.0
1999,36,Byggnadsarbetarnas,men,45-49,386802.5,221062617.5
1999,36,Byggnadsarbetarnas,women,45-49,5152.0,2643076.0
1999,36,Byggnadsarbetarnas,men,50-54,429605.0,245063907.0
1999,36,Byggnadsarbetarnas,women,50-54,4102.5,2064468.5
1999,36,Byggnadsarbetarnas,men,55-59,362900.5,205721766.5
1999,36,Byggnadsarbetarnas,women,55-59,2672.0,1271299.0
1999,36,Byggnadsarbetarnas,men,60+,243328.5,136760628.5
1999,36,Byggnadsarbetarnas,women,60+,946.5,400232.0
1999,41,Sveriges arbetares,men,-24,14257.0,6645227.0
1999,41,Sveriges arbetares,women,-24,9490.0,3735124.5
1999,41,Sveriges arbetares,men,25-29,33579.0,17178774.0
1999,41,Sveriges arbetares,women,25-29,25683.5,11694498.5
1999,41,Sveriges arbetares,men,30-34,50055.0,26491873.5
1999,41,Sveriges arbetares,women,30-34,31865.5,15410091.0
1999,41,Sveriges arbetares,men,35-39,50416.5,26936475.5
1999,41,Sveriges arbetares,women,35-39,31537.5,15345987.5
1999,41,Sveriges arbetares,men,40-44,45768.5,24736282.0
1999,41,Sveriges arbetares,women,40-44,24258.0,11876275.0
1999,41,Sveriges arbetares,men,45-49,50791.0,27662325.0
1999,41,Sveriges arbetares,women,45-49,18091.0,8803587.0
1999,41,Sveriges arbetares,men,50-54,40203.5,21874678.5
1999,41,Sveriges arbetares,women,50-54,11656.5,5559986.5
1999,41,Sveriges arbetares,men,55-59,32632.5,17675518.0
1999,41,Sveriges arbetares,women,55-59,6692.5,3031739.0
1999,41,Sveriges arbetares,men,60+,21654.5,11207790.5
1999,41,Sveriges arbetares,women,60+,4762.0,2219104.0
1999,44,Pappersindustriarbetarnas,men,-24,23648.0,10736055.5
1999,44,Pappersindustriarbetarnas,women,-24,7683.5,3406110.5
1999,44,Pappersindustriarbetarnas,men,25-29,32035.5,17410125.5
1999,44,Pappersindustriarbetarnas,women,25-29,14968.5,7977243.0
1999,44,Pappersindustriarbetarnas,men,30-34,31334.5,17618423.5
1999,44,Pappersindustriarbetarnas,women,30-34,22401.0,11954626.5
1999,44,Pappersindustriarbetarnas,men,35-39,26362.5,14838594.0
1999,44,Pappersindustriarbetarnas,women,35-39,12778.0,6722242.5
1999,44,Pappersindustriarbetarnas,men,40-44,23447.5,13221098.0
1999,44,Pappersindustriarbetarnas,women,40-44,8967.5,4762705.0
1999,44,Pappersindustriarbetarnas,men,45-49,23376.5,13140450.0
1999,44,Pappersindustriarbetarnas,women,45-49,7952.5,4133664.0
1999,44,Pappersindustriarbetarnas,men,50-54,22400.0,12599934.0
1999,44,Pappersindustriarbetarnas,women,50-54,8185.5,4006351.5
1999,44,Pappersindustriarbetarnas,men,55-59,16748.5,9348443.0
1999,44,Pappersindustriarbetarnas,women,55-59,5151.0,2479949.5
1999,44,Pappersindustriarbetarnas,men,60+,52243.0,29124228.0
1999,44,Pappersindustriarbetarnas,women,60+,11480.0,5576156.5
1999,47,Fastighets,men,-24,33881.5,14621193.0
1999,47,Fastighets,women,-24,44791.0,17664688.0
1999,47,Fastighets,men,25-29,81139.0,39651770.5
1999,47,Fastighets,women,25-29,116889.5,52343533.5
1999,47,Fastighets,men,30-34,100774.5,50346318.5
1999,47,Fastighets,women,30-34,133262.5,61230518.0
1999,47,Fastighets,men,35-39,97181.5,49269505.5
1999,47,Fastighets,women,35-39,102799.0,47157726.0
1999,47,Fastighets,men,40-44,72492.5,37412188.5
1999,47,Fastighets,women,40-44,71182.5,31930029.5
1999,47,Fastighets,men,45-49,68624.5,35427316.5
1999,47,Fastighets,women,45-49,53642.0,23799418.0
1999,47,Fastighets,men,50-54,54653.5,28883038.5
1999,47,Fastighets,women,50-54,47870.0,21151914.5
1999,47,Fastighets,men,55-59,44777.5,23299021.0
1999,47,Fastighets,women,55-59,40555.5,16905487.5
1999,47,Fastighets,men,60+,50250.5,25689465.5
1999,47,Fastighets,women,60+,39669.0,15772321.0
1999,51,Kommunalarbetarnas,men,-24,206804.0,83071438.5
1999,51,Kommunalarbetarnas,women,-24,658006.5,255726762.0
1999,51,Kommunalarbetarnas,men,25-29,553184.0,258695507.0
1999,51,Kommunalarbetarnas,women,25-29,1779968.0,827404221.0
1999,51,Kommunalarbetarnas,men,30-34,564775.0,273354172.0
1999,51,Kommunalarbetarnas,women,30-34,1653237.0,793354338.0
1999,51,Kommunalarbetarnas,men,35-39,538075.5,261182695.5
1999,51,Kommunalarbetarnas,women,35-39,1387754.5,661588705.5
1999,51,Kommunalarbetarnas,men,40-44,449763.5,219430901.0
1999,51,Kommunalarbetarnas,women,40-44,1063506.5,503929772.5
1999,51,Kommunalarbetarnas,men,45-49,354739.5,172860546.5
1999,51,Kommunalarbetarnas,women,45-49,834441.0,394084168.5
1999,51,Kommunalarbetarnas,men,50-54,263618.0,129845757.0
1999,51,Kommunalarbetarnas,women,50-54,674460.0,317843896.5
1999,51,Kommunalarbetarnas,men,55-59,199268.0,98590773.5
1999,51,Kommunalarbetarnas,women,55-59,505918.0,234827290.5
1999,51,Kommunalarbetarnas,men,60+,142190.0,61589593.0
1999,51,Kommunalarbetarnas,women,60+,790829.0,216405232.0
1999,52,Journalisternas,men,-24,1728.0,819696.5
1999,52,Journalisternas,women,-24,1810.5,828175.5
1999,52,Journalisternas,men,25-29,9839.0,5047749.5
1999,52,Journalisternas,women,25-29,13143.5,6753804.5
1999,52,Journalisternas,men,30-34,10628.0,5634764.0
1999,52,Journalisternas,women,30-34,15921.0,8691668.0
1999,52,Journalisternas,men,35-39,7572.0,4213632.5
1999,52,Journalisternas,women,35-39,12994.5,7183842.5
1999,52,Journalisternas,men,40-44,7133.0,4013026.5
1999,52,Journalisternas,women,40-44,9993.0,5458778.5
1999,52,Journalisternas,men,45-49,6445.5,3542361.5
1999,52,Journalisternas,women,45-49,6126.0,3283949.0
1999,52,Journalisternas,men,50-54,7853.5,4436691.0
1999,52,Journalisternas,women,50-54,6327.0,3360847.5
1999,52,Journalisternas,men,55-59,6958.0,3720512.5
1999,52,Journalisternas,women,55-59,5183.0,2812704.5
1999,52,Journalisternas,men,60+,4984.0,2765812.0
1999,52,Journalisternas,women,60+,4885.5,2539398.5
1999,53,Vision,men,-24,15227.5,5923653.5
1999,53,Vision,women,-24,27255.5,10350222.0
1999,53,Vision,men,25-29,47229.0,21432598.0
1999,53,Vision,women,25-29,130598.5,59607358.5
1999,53,Vision,men,30-34,62293.0,30523113.0
1999,53,Vision,women,30-34,164603.0,79304040.5
1999,53,Vision,men,35-39,68336.0,33913167.5
1999,53,Vision,women,35-39,178473.5,86511471.0
1999,53,Vision,men,40-44,66601.5,33851813.0
1999,53,Vision,women,40-44,159862.5,78094829.0
1999,53,Vision,men,45-49,72223.5,37080879.5
1999,53,Vision,women,45-49,157291.0,77255016.0
1999,53,Vision,men,50-54,66930.5,34941337.0
1999,53,Vision,women,50-54,167238.5,81740654.5
1999,53,Vision,men,55-59,59642.0,32001904.5
1999,53,Vision,women,55-59,146310.0,70755486.5
1999,53,Vision,men,60+,39865.5,20266711.5
1999,53,Vision,women,60+,153500.5,55995635.0
1999,55,Akademikernas,men,-24,6183.0,2562910.5
1999,55,Akademikernas,women,-24,12148.0,4490062.5
1999,55,Akademikernas,men,25-29,68477.0,32689189.5
1999,55,Akademikernas,women,25-29,146276.0,69361321.0
1999,55,Akademikernas,men,30-34,122304.0,65225539.5
1999,55,Akademikernas,women,30-34,200149.5,106290890.5
1999,55,Akademikernas,men,35-39,115216.5,63050862.5
1999,55,Akademikernas,women,35-39,179072.5,96183268.5
1999,55,Akademikernas,men,40-44,125962.5,69233211.5
1999,55,Akademikernas,women,40-44,147814.5,79626029.0
1999,55,Akademikernas,men,45-49,116606.0,64742952.5
1999,55,Akademikernas,women,45-49,120452.5,65027456.5
1999,55,Akademikernas,men,50-54,129942.5,72300375.5
1999,55,Akademikernas,women,50-54,111985.5,61220864.0
1999,55,Akademikernas,men,55-59,140437.5,79630966.5
1999,55,Akademikernas,women,55-59,95747.0,52213631.5
1999,55,Akademikernas,men,60+,96731.5,54402747.0
1999,55,Akademikernas,women,60+,52743.0,28034249.5
1999,56,Småföretagarnas,men,-24,6490.5,2057584.5
1999,56,Småföretagarnas,women,-24,4702.0,1522667.0
1999,56,Småföretagarnas,men,25-29,34840.5,13272463.5
1999,56,Småföretagarnas,women,25-29,22850.5,8767550.5
1999,56,Småföretagarnas,men,30-34,69466.0,29595156.0
1999,56,Småföretagarnas,women,30-34,42035.0,16571084.5
1999,56,Småföretagarnas,men,35-39,94156.0,40274155.5
1999,56,Småföretagarnas,women,35-39,46112.5,19141759.5
1999,56,Småföretagarnas,men,40-44,86730.0,38139753.5
1999,56,Småföretagarnas,women,40-44,46076.0,19706888.5
1999,56,Småföretagarnas,men,45-49,93356.5,42928003.5
1999,56,Småföretagarnas,women,45-49,47064.0,19933175.5
1999,56,Småföretagarnas,men,50-54,113310.5,54655954.0
1999,56,Småföretagarnas,women,50-54,65856.5,29001640.0
1999,56,Småföretagarnas,men,55-59,138353.5,68711401.5
1999,56,Småföretagarnas,women,55-59,81500.5,36389237.5
1999,56,Småföretagarnas,men,60+,169062.0,83321017.5
1999,56,Småföretagarnas,women,60+,79970.0,33443581.5
1999,62,Sekos,men,-24,80350.0,36546246.0
1999,62,Sekos,women,-24,43231.0,17801491.5
1999,62,Sekos,men,25-29,136020.5,70925298.0
1999,62,Sekos,women,25-29,103204.0,49259532.0
1999,62,Sekos,men,30-34,172313.5,94183801.0
1999,62,Sekos,women,30-34,152321.0,78149972.5
1999,62,Sekos,men,35-39,167740.5,93091620.0
1999,62,Sekos,women,35-39,134968.0,69796870.0
1999,62,Sekos,men,40-44,163015.0,91266941.0
1999,62,Sekos,women,40-44,102998.0,53543547.5
1999,62,Sekos,men,45-49,146867.0,82220019.5
1999,62,Sekos,women,45-49,81973.5,41648368.5
1999,62,Sekos,men,50-54,161161.0,90659804.0
1999,62,Sekos,women,50-54,82754.0,42028180.0
1999,62,Sekos,men,55-59,187005.5,105497279.0
1999,62,Sekos,women,55-59,81140.0,38600861.0
1999,62,Sekos,men,60+,116412.5,60737716.5
1999,62,Sekos,women,60+,58237.5,24165074.5
1999,65,STs,men,-24,10696.5,4517792.5
1999,65,STs,women,-24,13125.5,5515846.5
1999,65,STs,men,25-29,34970.5,17194057.0
1999,65,STs,women,25-29,86199.5,41573653.0
1999,65,STs,men,30-34,44876.5,23777075.0
1999,65,STs,women,30-34,142210.5,73039200.0
1999,65,STs,men,35-39,47414.5,24991384.0
1999,65,STs,women,35-39,135877.5,70454878.5
1999,65,STs,men,40-44,57018.0,30796044.0
1999,65,STs,women,40-44,145614.5,75693417.5
1999,65,STs,men,45-49,56739.0,30817463.0
1999,65,STs,women,45-49,154569.5,80865547.5
1999,65,STs,men,50-54,60336.5,33164382.5
1999,65,STs,women,50-54,177495.0,91636612.5
1999,65,STs,men,55-59,76598.5,43092390.5
1999,65,STs,women,55-59,178802.5,93523364.0
1999,65,STs,men,60+,49613.5,27639410.0
1999,65,STs,women,60+,164527.5,78376663.7
1999,67,IF Metalls,men,-24,470142.5,227633661.0
1999,67,IF Metalls,women,-24,131825.5,62769867.0
1999,67,IF Metalls,men,25-29,863396.0,466466228.5
1999,67,IF Metalls,women,25-29,320359.0,166747812.0
1999,67,IF Metalls,men,30-34,927251.0,515937812.5
1999,67,IF Metalls,women,30-34,473083.0,250298735.0
1999,67,IF Metalls,men,35-39,783131.0,436133308.0
1999,67,IF Metalls,women,35-39,361749.0,189182334.5
1999,67,IF Metalls,men,40-44,630517.5,350672825.0
1999,67,IF Metalls,women,40-44,246504.5,127602933.0
1999,67,IF Metalls,men,45-49,514010.0,287092163.5
1999,67,IF Metalls,women,45-49,216255.5,110699188.0
1999,67,IF Metalls,men,50-54,475084.5,265235382.0
1999,67,IF Metalls,women,50-54,209795.5,105339861.5
1999,67,IF Metalls,men,55-59,407859.0,226590674.0
1999,67,IF Metalls,women,55-59,167867.0,83007049.5
1999,67,IF Metalls,men,60+,646432.0,352347341.0
1999,67,IF Metalls,women,60+,203277.0,97384011.0
1999,68,Lärarnas,men,-24,6690.5,2479381.0
1999,68,Lärarnas,women,-24,23826.0,8889134.0
1999,68,Lärarnas,men,25-29,27415.5,12815590.5
1999,68,Lärarnas,women,25-29,141493.0,65441488.5
1999,68,Lärarnas,men,30-34,34233.5,17333799.5
1999,68,Lärarnas,women,30-34,156876.5,77127187.0
1999,68,Lärarnas,men,35-39,39197.0,20075700.5
1999,68,Lärarnas,women,35-39,117681.0,58404064.5
1999,68,Lärarnas,men,40-44,39143.5,20770672.5
1999,68,Lärarnas,women,40-44,113207.0,56362558.0
1999,68,Lärarnas,men,45-49,47820.0,25536823.5
1999,68,Lärarnas,women,45-49,108356.5,54719721.5
1999,68,Lärarnas,men,50-54,46497.5,25144744.0
1999,68,Lärarnas,women,50-54,94420.0,47935708.0
1999,68,Lärarnas,men,55-59,42144.0,23124103.0
1999,68,Lärarnas,women,55-59,72979.0,37444090.5
1999,68,Lärarnas,men,60+,37537.5,20636180.0
1999,68,Lärarnas,women,60+,54432.0,25407058.5
1999,69,Alfa,men,-24,803058.5,190197254.5
1999,69,Alfa,women,-24,636825.5,147517795.0
1999,69,Alfa,men,25-29,410169.0,97775555.0
1999,69,Alfa,women,25-29,370039.0,87016865.5
1999,69,Alfa,men,30-34,210607.5,51101509.0
1999,69,Alfa,women,30-34,185331.5,43542028.0
1999,69,Alfa,men,35-39,185196.5,45507261.5
1999,69,Alfa,women,35-39,157243.0,36470684.5
1999,69,Alfa,men,40-44,170281.0,41440627.0
1999,69,Alfa,women,40-44,129960.0,30201215.5
1999,69,Alfa,men,45-49,149052.0,36332266.0
1999,69,Alfa,women,45-49,109586.0,25581022.0
1999,69,Alfa,men,50-54,132250.0,32468325.0
1999,69,Alfa,women,50-54,95363.0,21853072.0
1999,69,Alfa,men,55-59,119907.0,29260084.0
1999,69,Alfa,women,55-59,77886.0,17509170.0
1999,69,Alfa,men,60+,76416.5,18123366.0
1999,69,Alfa,women,60+,73868.5,15419503.0
1999,70,Finans- och Försäkringsbranschens,men,-24,2317.0,935994.0
1999,70,Finans- och Försäkringsbranschens,women,-24,4486.5,1810763.0
1999,70,Finans- och Försäkringsbranschens,men,25-29,4033.0,1982730.0
1999,70,Finans- och Försäkringsbranschens,women,25-29,10151.0,4767870.0
1999,70,Finans- och Försäkringsbranschens,men,30-34,5075.0,2628376.5
1999,70,Finans- och Försäkringsbranschens,women,30-34,14505.5,7231328.0
1999,70,Finans- och Försäkringsbranschens,men,35-39,5679.5,3152486.5
1999,70,Finans- och Försäkringsbranschens,women,35-39,11960.5,6085498.0
1999,70,Finans- och Försäkringsbranschens,men,40-44,4917.5,2729813.5
1999,70,Finans- och Försäkringsbranschens,women,40-44,10233.5,5396616.0
1999,70,Finans- och Försäkringsbranschens,men,45-49,7102.0,3962031.5
1999,70,Finans- och Försäkringsbranschens,women,45-49,13127.0,6590723.5
1999,70,Finans- och Försäkringsbranschens,men,50-54,11160.0,6176449.5
1999,70,Finans- och Försäkringsbranschens,women,50-54,21416.5,10978809.5
1999,70,Finans- och Försäkringsbranschens,men,55-59,10128.5,5592080.5
1999,70,Finans- och Försäkringsbranschens,women,55-59,30918.0,15537854.5
1999,70,Finans- och Försäkringsbranschens,men,60+,4416.0,2361205.0
1999,70,Finans- och Försäkringsbranschens,women,60+,11032.0,5722893.0
2000,4,Handelsanställdas,men,-24,106707.5,47947329.0
2000,4,Handelsanställdas,women,-24,206738.5,83540316.0
2000,4,Handelsanställdas,men,25-29,243643.5,123729646.5
2000,4,Handelsanställdas,women,25-29,542542.0,260184644.5
2000,4,Handelsanställdas,men,30-34,218323.0,115903792.5
2000,4,Handelsanställdas,women,30-34,491299.5,249226190.5
2000,4,Handelsanställdas,men,35-39,192070.0,102674161.0
2000,4,Handelsanställdas,women,35-39,356555.5,179085972.0
2000,4,Handelsanställdas,men,40-44,135952.5,72001194.0
2000,4,Handelsanställdas,women,40-44,218676.0,107932316.0
2000,4,Handelsanställdas,men,45-49,119651.0,63554039.5
2000,4,Handelsanställdas,women,45-49,186145.0,90383327.5
2000,4,Handelsanställdas,men,50-54,100499.5,54283270.5
2000,4,Handelsanställdas,women,50-54,219536.0,106976090.5
2000,4,Handelsanställdas,men,55-59,102456.5,54950450.0
2000,4,Handelsanställdas,women,55-59,283785.5,135793132.0
2000,4,Handelsanställdas,men,60+,109259.0,58824244.5
2000,4,Handelsanställdas,women,60+,431144.0,196309616.5
2000,6,GS,men,-24,68094.0,33159298.5
2000,6,GS,women,-24,17282.0,7998522.5
2000,6,GS,men,25-29,150735.0,82121874.5
2000,6,GS,women,25-29,53579.0,27975925.0
2000,6,GS,men,30-34,181699.5,100861404.5
2000,6,GS,women,30-34,85656.5,45994226.0
2000,6,GS,men,35-39,180149.5,99288846.5
2000,6,GS,women,35-39,76059.5,40489273.5
2000,6,GS,men,40-44,160777.5,87861810.5
2000,6,GS,women,40-44,60031.0,31910675.5
2000,6,GS,men,45-49,155054.5,85437205.0
2000,6,GS,women,45-49,45387.5,24014386.5
